importancia,sentencia,tipo,redactor_cargo,fecha,redactor_nombre,numero,sede,procedimiento,resumen,ficha
MEDIA,,DEFINITIVA,,27/05/2016,,64/2016,Tribunal Apelaciones Civil 4ºTº,PROCESO CIVIL ORDINARIO,,0317-000215/2016
MEDIA,,DEFINITIVA,,06/06/2016,,125/2016,Tribunal Apelaciones Trabajo 4ºT,OTROS,,0242-000740/2014
ALTA,,INTERLOCUTORIA,,30/05/2016,,805/2016,Suprema Corte de Justicia,RECURSO DE CASACIÓN,,63/30/2015
ALTA,,INTERLOCUTORIA,,30/05/2016,,800/2016,Suprema Corte de Justicia,RECURSO DE CASACIÓN,,510-522/2013
ALTA,,INTERLOCUTORIA,,30/05/2016,,799/2016,Suprema Corte de Justicia,PROCESO INCIDENTAL,,1-6/2016
ALTA,,INTERLOCUTORIA,,30/05/2016,,801/2016,Suprema Corte de Justicia,RECURSO DE ACLARACION Y AMPLIACION,,2-24882/2013
ALTA,,INTERLOCUTORIA,,30/05/2016,,802/2016,Suprema Corte de Justicia,CONTIENDA DE COMPETENCIA,,2-38808/2014
ALTA,,INTERLOCUTORIA,,30/05/2016,,804/2016,Suprema Corte de Justicia,RECURSO DE CASACIÓN,,109-2/2009
ALTA,,INTERLOCUTORIA,,30/05/2016,,806/2016,Suprema Corte de Justicia,PROCESO DE INCONSTITUCIONALIDAD,,208-327/2011
ALTA,,INTERLOCUTORIA,,30/05/2016,,807/2016,Suprema Corte de Justicia,RECURSO DE QUEJA,,11-5/2015
ALTA,,INTERLOCUTORIA,,30/05/2016,,808/2016,Suprema Corte de Justicia,RECURSO DE CASACIÓN,,2-6641/2012
ALTA,,INTERLOCUTORIA,,30/05/2016,,824/2016,Suprema Corte de Justicia,PROCESO INCIDENTAL,,1-32/2016
ALTA,,INTERLOCUTORIA,,01/06/2016,,834/2016,Suprema Corte de Justicia,RECURSO DE CASACIÓN,,488-225/2014
ALTA,,INTERLOCUTORIA,,01/06/2016,,833/2016,Suprema Corte de Justicia,RECURSO DE CASACIÓN,,285-539/2013
ALTA,,DEFINITIVA,,30/05/2016,,145/2016,Suprema Corte de Justicia,PROCESO DE INCONSTITUCIONALIDAD,,461-19/2016
ALTA,,DEFINITIVA,,30/05/2016,,149/2016,Suprema Corte de Justicia,RECURSO DE CASACIÓN,,2-41443/2014
ALTA,,DEFINITIVA,,30/05/2016,,150/2016,Suprema Corte de Justicia,RECURSO DE CASACIÓN,,2-22054/2012
ALTA,,DEFINITIVA,,06/06/2016,,SEF 193/2016,Tribunal Apelaciones Familia 1ºT,OTROS,,0225-000262/2016
